"wikidata_url","wikidata_qid","place_label","location"
http://www.wikidata.org/entity/Q1017537,Q1017537,Inverurie,Point(-2.386666666 57.285555555)
http://www.wikidata.org/entity/Q1017943,Q1017943,Fareham,Point(-1.18 50.85)
http://www.wikidata.org/entity/Q1018121,Q1018121,Ivybridge,Point(-3.921 50.389)
http://www.wikidata.org/entity/Q1018133,Q1018133,Lymington,Point(-1.55 50.75)
http://www.wikidata.org/entity/Q1018137,Q1018137,Kingswear,Point(-3.573 50.348)
http://www.wikidata.org/entity/Q1018157,Q1018157,Portishead,Point(-2.7626 51.484)
http://www.wikidata.org/entity/Q1018225,Q1018225,St Neots,Point(-0.26 52.23)
http://www.wikidata.org/entity/Q1018418,Q1018418,Reigate,Point(-0.205833333 51.237644444)
http://www.wikidata.org/entity/Q1018423,Q1018423,Melton Mowbray,Point(-0.886 52.7661)
http://www.wikidata.org/entity/Q1018429,Q1018429,Ilfracombe,Point(-4.12 51.208)
http://www.wikidata.org/entity/Q1018448,Q1018448,Washington,Point(-1.52 54.9)
http://www.wikidata.org/entity/Q1018490,Q1018490,Uckfield,Point(0.1 50.97)
http://www.wikidata.org/entity/Q1018543,Q1018543,Newton Mearns,Point(-4.3347 55.7716)
http://www.wikidata.org/entity/Q1018557,Q1018557,"Washington, West Sussex",Point(-0.406338888 50.902980555)
http://www.wikidata.org/entity/Q1018565,Q1018565,Smethwick,Point(-1.968227777 52.492852777)
http://www.wikidata.org/entity/Q1018659,Q1018659,Edington,Point(-2.106 51.277)
http://www.wikidata.org/entity/Q1018668,Q1018668,Wilton,Point(-1.864 51.08)
